Total Nacional,Comunidades y Ciudades Autónomas,Provincias,Periodo,Total,Provincias_Cod,Año,Mes,Total_scaled
Total Nacional,07 Castilla y León,24 León,2022-02-01,0.3,24,2022,2,0.042944785276073615
Total Nacional,07 Castilla y León,24 León,2021-08-01,0.32,24,2021,8,0.047034764826175864
Total Nacional,07 Castilla y León,24 León,2021-02-01,0.29,24,2021,2,0.04089979550102248
Total Nacional,07 Castilla y León,24 León,2020-08-01,0.31,24,2020,8,0.04498977505112473
Total Nacional,07 Castilla y León,34 Palencia,2024-08-01,0.21,34,2024,8,0.024539877300613494
Total Nacional,07 Castilla y León,34 Palencia,2024-02-01,0.17,34,2024,2,0.016359918200408996
Total Nacional,07 Castilla y León,34 Palencia,2023-08-01,0.16,34,2023,8,0.014314928425357872
Total Nacional,07 Castilla y León,34 Palencia,2023-02-01,0.15,34,2023,2,0.012269938650306747
Total Nacional,07 Castilla y León,34 Palencia,2022-08-01,0.14,34,2022,8,0.010224948875255626
Total Nacional,07 Castilla y León,34 Palencia,2022-02-01,0.15,34,2022,2,0.012269938650306747
Total Nacional,07 Castilla y León,34 Palencia,2021-08-01,0.15,34,2021,8,0.012269938650306747
Total Nacional,07 Castilla y León,34 Palencia,2021-02-01,0.14,34,2021,2,0.010224948875255626
Total Nacional,07 Castilla y León,34 Palencia,2020-08-01,0.13,34,2020,8,0.008179959100204498
Total Nacional,07 Castilla y León,37 Salamanca,2024-08-01,0.64,37,2024,8,0.11247443762781184
Total Nacional,07 Castilla y León,37 Salamanca,2024-02-01,0.58,37,2024,2,0.10020449897750508
Total Nacional,07 Castilla y León,37 Salamanca,2023-08-01,0.5,37,2023,8,0.08384458077709611
Total Nacional,07 Castilla y León,37 Salamanca,2023-02-01,0.5,37,2023,2,0.08384458077709611
Total Nacional,07 Castilla y León,37 Salamanca,2022-08-01,0.51,37,2022,8,0.08588957055214724
Total Nacional,07 Castilla y León,37 Salamanca,2022-02-01,0.48,37,2022,2,0.07975460122699385
Total Nacional,07 Castilla y León,37 Salamanca,2021-08-01,0.5,37,2021,8,0.08384458077709611
Total Nacional,07 Castilla y León,37 Salamanca,2021-02-01,0.5,37,2021,2,0.08384458077709611
Total Nacional,07 Castilla y León,37 Salamanca,2020-08-01,0.55,37,2020,8,0.09406952965235174
Total Nacional,07 Castilla y León,40 Segovia,2024-08-01,0.83,40,2024,8,0.1513292433537832
Total Nacional,07 Castilla y León,40 Segovia,2024-02-01,0.7,40,2024,2,0.12474437627811857
Total Nacional,07 Castilla y León,40 Segovia,2023-08-01,0.65,40,2023,8,0.11451942740286297
